date,customer_id,invoice_id,event_type,detail
2025-03-27,C-04,INV-2128,INVOICE_SETTLED,payment 12816.48 received; balance cleared
2025-04-02,C-04,INV-2127,INVOICE_SETTLED,payment 10434.60 received; balance cleared
2025-04-03,C-07,INV-2236,PARTIAL_PAYMENT,received 3145.45; 3145.44 outstanding; PAYMENT_IN_FLIGHT hold for 5d
2025-04-09,C-07,INV-2236,HOLD_EXPIRED,claimed payment never arrived; reconciliation window closed
2025-04-17,C-06,INV-2183,INVOICE_SETTLED,payment 31132.65 received; balance cleared
2025-04-17,C-06,INV-2181,INVOICE_SETTLED,payment 38396.80 received; balance cleared
2025-04-21,C-09,INV-2289,INVOICE_SETTLED,payment 8395.23 received; balance cleared
2025-04-22,C-07,INV-2236,INVOICE_SETTLED,payment 3145.44 received; balance cleared
2025-04-22,C-09,INV-2290,INVOICE_SETTLED,payment 7185.05 received; balance cleared
2025-04-23,C-03,INV-2091,INVOICE_SETTLED,payment 31314.34 received; balance cleared
2025-04-24,C-07,INV-2235,PARTIAL_PAYMENT,received 2366.24; 2366.23 outstanding; PAYMENT_IN_FLIGHT hold for 5d
2025-04-25,C-02,INV-2039,INVOICE_SETTLED,payment 11188.31 received; balance cleared
2025-04-27,C-01,INV-2001,INVOICE_SETTLED,payment 10265.85 received; balance cleared
2025-04-27,C-03,INV-2092,INVOICE_SETTLED,payment 35509.97 received; balance cleared
2025-04-29,C-12,INV-2381,INVOICE_SETTLED,payment 10495.11 received; balance cleared
2025-04-30,C-07,INV-2235,HOLD_EXPIRED,claimed payment never arrived; reconciliation window closed
2025-05-03,C-01,INV-2002,INVOICE_SETTLED,payment 19719.20 received; balance cleared
2025-05-05,C-06,INV-2182,INVOICE_SETTLED,payment 31160.70 received; balance cleared
2025-05-06,C-07,INV-2235,INVOICE_SETTLED,payment 2366.23 received; balance cleared
2025-05-07,C-02,INV-2037,INVOICE_SETTLED,payment 11635.08 received; balance cleared
2025-05-10,C-09,INV-2291,INVOICE_SETTLED,payment 6302.86 received; balance cleared
2025-05-16,C-06,INV-2185,INVOICE_SETTLED,payment 24831.25 received; balance cleared
2025-05-17,C-01,INV-2004,INVOICE_SETTLED,payment 10385.68 received; balance cleared
2025-05-18,C-11,INV-2361,INVOICE_SETTLED,payment 18896.89 received; balance cleared
2025-05-19,C-12,INV-2379,INVOICE_SETTLED,payment 11007.66 received; balance cleared
2025-05-19,C-06,INV-2186,INVOICE_SETTLED,payment 26414.59 received; balance cleared
2025-05-19,C-04,INV-2129,INVOICE_SETTLED,payment 14315.02 received; balance cleared
2025-05-22,C-10,INV-2326,INVOICE_SETTLED,payment 13870.45 received; balance cleared
2025-05-22,C-12,INV-2380,INVOICE_SETTLED,payment 11874.33 received; balance cleared
2025-05-23,C-08,INV-2271,INVOICE_SETTLED,payment 91439.29 received; balance cleared
2025-05-23,C-07,INV-2237,PARTIAL_PAYMENT,received 2610.76; 2610.75 outstanding; PAYMENT_IN_FLIGHT hold for 5d
2025-05-23,C-09,INV-2292,INVOICE_SETTLED,payment 4410.78 received; balance cleared
2025-05-23,C-04,INV-2130,INVOICE_SETTLED,payment 10156.64 received; balance cleared
2025-05-25,C-02,INV-2038,INVOICE_SETTLED,payment 9752.28 received; balance cleared
2025-05-27,C-07,INV-2238,INVOICE_SETTLED,payment 7055.87 received; balance cleared
2025-05-27,C-06,INV-2184,INVOICE_SETTLED,payment 18695.96 received; balance cleared
2025-05-29,C-02,INV-2040,INVOICE_SETTLED,payment 13771.56 received; balance cleared
2025-05-29,C-07,INV-2237,HOLD_EXPIRED,claimed payment never arrived; reconciliation window closed
2025-06-01,C-03,INV-2094,INVOICE_SETTLED,payment 32607.32 received; balance cleared
2025-06-02,C-10,INV-2325,INVOICE_SETTLED,payment 18601.48 received; balance cleared
2025-06-03,C-01,INV-2003,INVOICE_SETTLED,payment 21431.80 received; balance cleared
2025-06-03,C-03,INV-2093,INVOICE_SETTLED,payment 18269.56 received; balance cleared
2025-06-06,C-07,INV-2237,INVOICE_SETTLED,payment 2610.75 received; balance cleared
2025-06-08,C-11,INV-2362,INVOICE_SETTLED,payment 32988.84 received; balance cleared
2025-06-08,C-08,INV-2272,INVOICE_SETTLED,payment 101986.25 received; balance cleared
2025-06-09,C-04,INV-2131,INVOICE_SETTLED,payment 11126.75 received; balance cleared
2025-06-12,C-09,INV-2293,INVOICE_SETTLED,payment 5726.81 received; balance cleared
2025-06-13,C-12,INV-2382,INVOICE_SETTLED,payment 14008.64 received; balance cleared
2025-06-13,C-09,INV-2294,INVOICE_SETTLED,payment 9222.10 received; balance cleared
2025-06-14,C-07,INV-2239,INVOICE_SETTLED,payment 6329.80 received; balance cleared
2025-06-14,C-01,INV-2006,INVOICE_SETTLED,payment 23125.32 received; balance cleared
2025-06-15,C-06,INV-2188,INVOICE_SETTLED,payment 24475.75 received; balance cleared
2025-06-16,C-12,INV-2383,INVOICE_SETTLED,payment 11220.95 received; balance cleared
2025-06-16,C-02,INV-2042,INVOICE_SETTLED,payment 8297.67 received; balance cleared
2025-06-20,C-02,INV-2041,INVOICE_SETTLED,payment 9996.26 received; balance cleared
2025-06-21,C-03,INV-2096,INVOICE_SETTLED,payment 39037.51 received; balance cleared
2025-06-22,C-12,INV-2384,INVOICE_SETTLED,payment 12142.03 received; balance cleared
2025-06-25,C-04,INV-2132,INVOICE_SETTLED,payment 10141.90 received; balance cleared
2025-06-26,C-10,INV-2327,INVOICE_SETTLED,payment 18050.37 received; balance cleared
2025-06-28,C-02,INV-2043,INVOICE_SETTLED,payment 7922.12 received; balance cleared
2025-06-28,C-03,INV-2095,INVOICE_SETTLED,payment 39364.78 received; balance cleared
2025-06-30,C-01,INV-2005,INVOICE_SETTLED,payment 21456.90 received; balance cleared
2025-07-01,C-10,INV-2328,INVOICE_SETTLED,payment 16618.21 received; balance cleared
2025-07-01,C-06,INV-2187,INVOICE_SETTLED,payment 31191.01 received; balance cleared
2025-07-01,C-04,INV-2134,INVOICE_SETTLED,payment 17088.95 received; balance cleared
2025-07-05,C-07,INV-2240,PARTIAL_PAYMENT,received 3123.64; 3123.64 outstanding; PAYMENT_IN_FLIGHT hold for 5d
2025-07-08,C-12,INV-2385,INVOICE_SETTLED,payment 10806.37 received; balance cleared
2025-07-08,C-06,INV-2189,INVOICE_SETTLED,payment 29575.83 received; balance cleared
2025-07-08,C-04,INV-2133,INVOICE_SETTLED,payment 11407.12 received; balance cleared
2025-07-11,C-02,INV-2044,INVOICE_SETTLED,payment 10401.70 received; balance cleared
2025-07-11,C-07,INV-2240,HOLD_EXPIRED,claimed payment never arrived; reconciliation window closed
2025-07-12,C-08,INV-2273,INVOICE_SETTLED,payment 68403.65 received; balance cleared
2025-07-13,C-06,INV-2192,INVOICE_SETTLED,payment 35894.75 received; balance cleared
2025-07-17,C-12,INV-2387,INVOICE_SETTLED,payment 6404.08 received; balance cleared
2025-07-17,C-12,INV-2386,INVOICE_SETTLED,payment 11096.62 received; balance cleared
2025-07-18,C-01,INV-2008,INVOICE_SETTLED,payment 12922.34 received; balance cleared
2025-07-18,C-09,INV-2296,INVOICE_SETTLED,payment 7611.71 received; balance cleared
2025-07-19,C-07,INV-2240,INVOICE_SETTLED,payment 3123.64 received; balance cleared
2025-07-19,C-09,INV-2295,INVOICE_SETTLED,payment 6198.12 received; balance cleared
2025-07-22,C-11,INV-2363,INVOICE_SETTLED,payment 13768.09 received; balance cleared
2025-07-23,C-02,INV-2045,INVOICE_SETTLED,payment 5392.58 received; balance cleared
2025-07-25,C-06,INV-2190,INVOICE_SETTLED,payment 24694.78 received; balance cleared
2025-07-25,C-07,INV-2241,PARTIAL_PAYMENT,received 3475.36; 3475.35 outstanding; PAYMENT_IN_FLIGHT hold for 5d
2025-07-26,C-03,INV-2098,INVOICE_SETTLED,payment 35057.75 received; balance cleared
