risk_band,risk_score,invoice_id,customer_id,customer_name,due_date,balance,days_past_due,predicted_days_late,predicted_payment_date,reason
High,0.816,INV-2177,C-05,Ardley & Sons,2026-07-13,314.14,44,79,2026-09-30,"Ardley & Sons has paid 100% of 12 settled invoices late, median 69d (sd 11d, worst 90d); this invoice is 44d past due with 314.14 outstanding; account-level: customer escalated a complaint about chasing; balance is below the 500 cost-to-collect floor, so it is worked by statement rather than escalation; expected payment around 2026-09-30 (~79d past terms)."
High,0.759,INV-2178,C-05,Ardley & Sons,2026-08-04,269.57,22,79,2026-10-22,"Ardley & Sons has paid 100% of 12 settled invoices late, median 69d (sd 11d, worst 90d); this invoice is 22d past due with 269.57 outstanding; blocked: customer asked for a payment plan; account-level: customer escalated a complaint about chasing; balance is below the 500 cost-to-collect floor, so it is worked by statement rather than escalation; expected payment around 2026-10-22 (~79d past terms)."
High,0.707,INV-2180,C-05,Ardley & Sons,2026-10-21,329.62,0,79,2027-01-08,"Ardley & Sons has paid 100% of 12 settled invoices late, median 69d (sd 11d, worst 90d); this invoice is not yet due (2026-10-21); account-level: customer escalated a complaint about chasing; balance is below the 500 cost-to-collect floor, so it is worked by statement rather than escalation; expected payment around 2027-01-08 (~79d past terms)."
High,0.703,INV-2179,C-05,Ardley & Sons,2026-09-18,245.10,0,79,2026-12-06,"Ardley & Sons has paid 100% of 12 settled invoices late, median 69d (sd 11d, worst 90d); this invoice is not yet due (2026-09-18); account-level: customer escalated a complaint about chasing; balance is below the 500 cost-to-collect floor, so it is worked by statement rather than escalation; expected payment around 2026-12-06 (~79d past terms)."
High,0.654,INV-2356,C-10,Thackeray Advisory,2026-07-21,18989.52,36,46,2026-09-05,"Thackeray Advisory has paid 100% of 25 settled invoices late, median 36d (sd 6d, worst 44d); this invoice is 36d past due with 18,989.52 outstanding; blocked: open dispute on the invoice; expected payment around 2026-09-05 (~46d past terms)."
High,0.561,INV-2357,C-10,Thackeray Advisory,2026-09-01,13915.41,0,46,2026-10-17,"Thackeray Advisory has paid 100% of 25 settled invoices late, median 36d (sd 6d, worst 44d); this invoice is not yet due (2026-09-01); blocked: customer says the invoice never arrived; expected payment around 2026-10-17 (~46d past terms)."
Medium,0.540,INV-2267,C-07,Saltmarsh Media,2026-08-06,7101.18,20,32,2026-09-07,"Saltmarsh Media has paid 100% of 23 settled invoices late, median 22d (sd 5d, worst 29d); this invoice is 20d past due with 7,101.18 outstanding; blocked: customer asked for a payment plan; expected payment around 2026-09-07 (~32d past terms)."
Medium,0.534,INV-2085,C-02,Cormack Retail Group,2026-08-12,10664.57,14,35,2026-09-16,"Cormack Retail Group has paid 100% of 36 settled invoices late, median 25d (sd 4d, worst 32d); this invoice is 14d past due with 10,664.57 outstanding; blocked: customer says the invoice never arrived; expected payment around 2026-09-16 (~35d past terms)."
Medium,0.531,INV-2122,C-03,Perrin Life Sciences,2026-07-28,24731.97,29,39,2026-09-05,"Perrin Life Sciences has paid 67% of 21 settled invoices late, median 3d (sd 21d, worst 51d); this invoice is 29d past due with 24,731.97 outstanding; account-level: account referred to legal counsel; expected payment around 2026-09-05 (~39d past terms)."
Medium,0.498,INV-2121,C-03,Perrin Life Sciences,2026-08-11,31165.01,15,25,2026-09-05,"Perrin Life Sciences has paid 67% of 21 settled invoices late, median 3d (sd 21d, worst 51d); this invoice is 15d past due with 31,165.01 outstanding; account-level: account referred to legal counsel; expected payment around 2026-09-05 (~25d past terms)."
Medium,0.485,INV-2162,C-04,Vantage Metalworks,2026-09-16,12659.32,0,11,2026-09-27,"Vantage Metalworks has paid 54% of 24 settled invoices late, median 1d (sd 21d, worst 59d); this invoice is not yet due (2026-09-16); account-level: AP contact has left; new address unverified; expected payment around 2026-09-27 (~11d past terms)."
